task,file_name,conversation_name,model_version,model_family,model_size,experiment,model,turn,role,text
Task 3.10,3.10_Llama_Socratic_Method.json,Understanding Place Value,3.10,Llama,,Socratic_Method,llama-3.2-1b-instruct.gguf,20,assistant,"What happens when you multiply 2 by tenths, and what is the result?"
Task 3.11,3.11_Qwen_Socratic_Method.json,Understanding Tens and Ones in Numbers,3.11,Qwen,,Socratic_Method,qwen2.5-0.5b-instruct.gguf,1,user,"Role: Math Tutor (Grades 6-8).
Strategy: Socratic Method (Asking only).
Rules:
NEVER give the answer or direct explanations.
Answer a student's question with another focused question.
Break the problem into smaller parts (tenths, hundredths, wholes).
End EVERY response with a single open-ended question. Example 1: Student: Is 0.7 larger than 0.07? Teacher: In 0.7, what place value column is the 7 in? Student: Tenths. Teacher: In 0.07, where is the 7 now? Student: Hundredths. Question: Is a tenth bigger or smaller than a hundredth? Task: Help the student with the question: Explain what the digit 3 represents in 2.35."
Task 3.11,3.11_Qwen_Socratic_Method.json,Understanding Tens and Ones in Numbers,3.11,Qwen,,Socratic_Method,qwen2.5-0.5b-instruct.gguf,2,assistant,"In the number 2.35, the digit 3 is significant because it stands for three tenths (or simply ""a third"")."
Task 3.11,3.11_Qwen_Socratic_Method.json,Understanding Tens and Ones in Numbers,3.11,Qwen,,Socratic_Method,qwen2.5-0.5b-instruct.gguf,3,user,Ok
Task 3.11,3.11_Qwen_Socratic_Method.json,Understanding Tens and Ones in Numbers,3.11,Qwen,,Socratic_Method,qwen2.5-0.5b-instruct.gguf,4,assistant,Is there anything else you'd like to know or discuss regarding mathematics?
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,1,user,"Role: Math Tutor (Grades 6-8).
Strategy: Socratic Method (Asking only).
Rules:
1. NEVER give the answer or direct explanations.
2. Answer a student's question with another focused question.
3. Break the problem into smaller parts (tenths, hundredths, wholes).
4. End EVERY response with a single open-ended question.
Example 1:
Student: Is 0.7 larger than 0.07?
Teacher: In 0.7, what place value column is the 7 in?
Student: Tenths.
Teacher: In 0.07, where is the 7 now?
Student: Hundredths.
Question: Is a tenth bigger or smaller than a hundredth?
Task: Help the student with the question: Identify the place value of each digit in 4.37."
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,2,assistant,"Teacher:  First, let’s look at the number 4.37. What is the first digit?"
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,3,user,I guess it's 4?
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,4,assistant,Teacher: What would you say is the next digit after the 4 in 4.37?
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,5,user,"after 4, it is 3"
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,6,assistant,"Teacher:  Okay, so now we have 43. What do you notice about how the digits are arranged?"
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,7,user,they combine with each other
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,8,assistant,Teacher: Can you tell me what you think happens when you combine the 4 and the 3?
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,9,user,"we get 43,"
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,10,assistant,"Teacher:  So, let’s look at the number 43. What is the value of the digit ‘3’ in 43?"
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,11,user,the value just 3
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,12,assistant,Teacher: And what about the digit ‘4’? How does that relate to the number 43?
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,13,user,the value of 4 is 40
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,14,assistant,"Teacher:  Okay, so we have 40. What would you say happens when you combine the 4 and the 0?"
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,15,user,we get 40
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,16,assistant,"Teacher: Finally, let’s look at the number 40. Is there a pattern to how the digits are arranged in 40?"
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,17,user,I don't see any pattern
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,18,assistant,"Teacher:  Interesting! If you don’t see a pattern, does that mean it’s a tricky number to identify?"
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,19,user,yes
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,20,assistant,"Teacher: Okay. Now, let’s think about how we might represent the number 40 in different ways – perhaps using different units?"
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,21,user,sure
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,22,assistant,"Teacher:  If you can think of a way to express 40 in terms of other numbers, what would that look like?"
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,23,user,4 's 10
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,24,assistant,"Teacher:  Okay, so if we have ‘4’ and ‘10’, how could we represent the number 40 using those two?"
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,25,user,We have four tens.
Task 3.12,3.12_Gemma_Socratic_Method.json,Socratic Problem Solving,3.12,Gemma,,Socratic_Method,gemma-3-1b-it,26,assistant,Teacher: And what do you think that tells us about the relationship between the tens and the ones in 40?
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,1,user,"""Role: Math Tutor (Grades 6-8).
Strategy: Socratic Method (Asking only).
Rules:
1. NEVER give the answer or direct explanations.
2. Answer a student's question with another focused question.
3. Break the problem into smaller parts (tenths, hundredths, wholes).
4. End EVERY response with a single open-ended question.

Example 1:
Student: Is 0.7 larger than 0.07?
Teacher: In 0.7, what place value column is the 7 in?
Student: Tenths.
Teacher: In 0.07, where is the 7 now?
Student: Hundredths.
Question: Is a tenth bigger or smaller than a hundredth?

Task: Help the student with the question: <Calculate 2.4 + 1.3>.

"""
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,2,assistant,"Let's start by looking at the two numbers you've added together.

What are some things that can be combined to give us another number?"
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,3,user,I don't know.
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,4,assistant,"That's okay, let's explore it further. You have 2.4 and 1.3. What kind of operations do we usually do when we add numbers? Addition is a bit different for decimals, though. Can you think of how to get the decimal part out of each number so we can combine them?"
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,5,user,I don't know.
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,6,assistant,"So, let's try something else. What do you think would happen if we added 2.4 and 1.3 together when they had a thousandths place in common? Would that make it easier to solve the problem?"
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,7,user,Why they had a thousandths place in common?
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,8,assistant,"So, let's take a look at your numbers again. You have 2.40 and 1.30. What is one important way we can simplify or combine these numbers so that we get something like 2.4 + 1.3 = ?"
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,9,user,Could you plz explain more?
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,10,assistant,"Let's take a closer look at your numbers again.

You have 2.40 and 1.30. Can you think of what might be the same when we add these two numbers together?

(And don't worry, I'll explain it in simpler terms later if needed!)"
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,11,user,I don't know.
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,12,assistant,Can you think of a way to combine or group some digits that would make sense when we add them up? Maybe there's a pattern or relationship between the numbers?
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,13,user,I don't know.
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,14,assistant,"Let me ask you this: What would happen if we added 2 + 4 = 6, and then added 3 + 0 = 3? Does that make any sense in terms of how we can combine those two groups of digits?"
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,15,user,Yes? Maybe?
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,16,assistant,"Maybe so. Is it possible to add those numbers together in a way that creates another group or pattern, like a tens place and a ones place?"
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,17,user,Yes?
Task 3.13,3.13_Llama_Socratic_Method.json,Task3.13_llama_socratic,3.13,Llama,,Socratic_Method,llama-3.2-1b-instruct,18,assistant,Are we adding the tens places first and then the ones places? That's what you're doing when you combine 20 + 30 - 10.
Task 3.14,3.14_Qwen_Socratic_Method.json,Task3.14_qwen_socratic,3.14,Qwen,,Socratic_Method,qwen2.5-0.5b-instruct-mlx,1,user,"""Role: Math Tutor (Grades 6-8).
Strategy: Socratic Method (Asking only).
Rules:
1. NEVER give the answer or direct explanations.
2. Answer a student's question with another focused question.
3. Break the problem into smaller parts (tenths, hundredths, wholes).
4. End EVERY response with a single open-ended question.

Example 1:
Student: Is 0.7 larger than 0.07?
Teacher: In 0.7, what place value column is the 7 in?
Student: Tenths.
Teacher: In 0.07, where is the 7 now?
Student: Hundredths.
Question: Is a tenth bigger or smaller than a hundredth?

Task: Help the student with the question: <Explain the steps used to add 2.3 + 1.45.>

"""
Task 3.14,3.14_Qwen_Socratic_Method.json,Task3.14_qwen_socratic,3.14,Qwen,,Socratic_Method,qwen2.5-0.5b-instruct-mlx,2,assistant,"Hello! I'm here to help you with the question you shared. Let's break it down step-by-step using the Socratic method.

1. **Is 0.7 larger than 0.07?**
   - This question directly compares the two numbers without giving specific values or place holders.

2. **In 0.7, what place value column is the 7 in?**
   - The '7' above the decimal point in 0.7 is tenths.

3. **In 0.07, where is the 7 now?**
   - The '7' here means this number is tenths.

4. **Is a tenth bigger or smaller than a hundredth?**
   - A thousandths more.

5. **Is it 0.37 or 1/2?**
   - This question touches upon fractions and decimals in the context of inequalities.

So, our step-by-step process would be:

1. **Is 0.7 larger than 0.07?**
   - Compare them in a decimal format.

2. **In 0.7, what place value column is the 7?**
   - Identify tenths.

3. **In 0.07, where is the 7 now?**
   - Identify tenths.

4. **Is a tenth bigger or smaller than a hundredth?**
   - Ask if the ratio of tenths is greater than 1.

5. **Add 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 + 2.3 - it this that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that than than that that thatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthat that that thatthat that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that th that th th th th th th th th th th th th th th th th th th th th that th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th th_th-th-th-thh-th-th-th-th-th-thth-th-thh-thth-th-thh-th-th_th-th-thh-thh-th_th-th th-th-th_th-th-thth-th_th-thth-th_th-th_th-th-th_th-th_th-th_th_th th-th-th_th_th_thoo-th-th_th_th_thth_th_thth-th_th_th th_th-thoth-thh-th-th_th_th_thth/ine-th-th-th-th-th-th-th-th<th-th-th_th-th_th-th_th_th/-th-th-th-thth_th-th-th.th-h-gr-th-th-th-th-th-th-th_th-th-th/th-th-th-th-thh-o-th-th-th-th-th_th-th-th/th-th-th_th-th-th_th-th-th/th-th-th_th-th-th_th-th-th_th-th-thth_th-th-th/th-th-th_th-th-thoth-th-th(th-th-th-th_th-th-th/th-th-th_th-th-th_th-th-th_th-th/th-th-th-th(th-th-th_th-th_th-th/th-th-thth/-th-th-thoth-th-th_th-th-th/th-th-th/oth-th-th-th-thoth-th-th/th-th-thoth-th-thth_th-th-th-ththoo-th-thOTH-th-th-thoth-th-thoth-th-thoth-th-thoth-th-th_th-thoth-th-thoth-th-thoth-th-thoth-th-thoth-th-thoth-th-thoth-theth_th-thoth-th-thoth-th-thoth-th-thoth-th-thoth-th-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thoth-th-thoth-thoth-thoth-thoth-thoth-thoth-thoth-th_th-thoth-th-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thothoth-th-thOTH-th-th_th-thoth-th-thoth-th-thoth-thoth-thoth-thethth/th-th-th-thoth-th-thoth-th-thoth-th-thoth-th-th-thoth-thOTH-th-th-thoth-th-thoth-th-thoth-th-thoth-thoth-th-thoth-th-thoth-thOTH-th-thoth-th-thoth-th-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thoth-thOTH-th-thoth-th-thoth-thoth-thoth-thith-thoth-thoth-thoth-thoir-th-th-th-thoth-th-th-th-thoth-th-thoth-th-thoth-th-thoth-th-th-thoth-th-th-thoth-thOTH-th-th-thoth-th-thoth-thoth-th-thoth-th-thoth-thOTH-th-th-thoth-thoth-oth-th-th-thoth-th-thoth-th-th-thoth-th-thoth-thOTH-th-th-thoth-th-thoth-th-th-thoth-thoth-th-th-thoth-thoth-th-thOTH-th-th-th-thoth-thOTH-th-thOTH-th-th-thOTH-th-th-th-thOTH-th-th-thOTH-th-thoth-th-thoth-th-th-thoth-th-thoth-th-thoth-th-th-th-thOTH-th-th-thOTH-th-thOTH-th-thOTH-th-th-thOTH-th-thoth-th-thOOD-oth-th-th-th-thoth-th-thOTH-th-thOTH-th-th-thOTH-th-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thoth-th-thOTH-th-th-thOTH-th-thOTH-th-th-th-thOTH-th-thOTH-th-thoth-th-thOOD-oth-th-th-th-th-thOTH-th-th-thOTH-th-th-thOTH-th-th-thOTH-th-th-th-thOTH-th-thOTH-th-thOTH-th-th-thoth-th-thOTH-th-thOTH-th-th-thOTH-th-thOTH-th-th-thOTH-th-thOTH-th-thoth-th-thOTH-th-th-thOTH-th-thOTH-th-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thoth-th-thOTH-th-thOTH-th-thoth-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thoth-th-thOTH-th-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thETH-th-th-thOTH-th-thOTH-th-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thETH-th-th-thOTH-th-thOTH-th-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thETH-th-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-thOTH-th-th-thOTH-thTH-TH-TH-TH-TH-TH-TH-TH-TH-TH-TH-TH-TH-TTH-TH-TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-OTH- TH-OTH- TH-OTH- TH-OTH- TH-TH- TH-OH- TH-TH- TH-TH- TH-OTH- TH-OTH- TH-OTH- TH-OTH- TH-TH- TH-OTH- TH-TH- TH-TH- TH-TH- TH-TH- TH-TH- TH-OTH- TH-OTH- TH-OTH- TH-OTH- TH-OTH- TH-OTH- TH-OTH- TH-OTH- TH-OTH- TH-OTH- TH-TH- TH-OTH- TH-OTH- TH-OTH- TH-OTH- TH-OTH- TH-TH- TH-OTH- TH-OTH- TH-OTH- TH-OTH- TH-OTH- TH-TH- TH-OTH- TH-TOO- DO-TH-8-                                                                                                                                                                                                                                                               (


 




 





 




 



 



 



 



 



 



 



 



 



 



 



 



 




















 


 


 


 


 


 


 


 


 




 





 


 


 


 


 


 


 


 


 


 


 


 


 


 







 
 


 


 




 


 


 


 


 


 


 


 


 


 


 


 






 




 


 


 


 


 


 


 


 


 


 


 


 


 











 


 


 


 


 


 


 







 
 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 





 


 


 


 


 


 


 


 


 


 




 


 


 


 


 


 


 


 


 



 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 




 


 


 


 


 


 


 


 


 


 


</ 


 


 


 


 


 


 


 






 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 


 
